dataset,dataset_display,actor_family,actor_display,protocol,precision_successes,precision_n,precision_rate,precision_ci_lo,precision_ci_hi,uptake_successes,uptake_n,uptake_rate,uptake_ci_lo,uptake_ci_hi,repair_successes,repair_n,repair_rate,repair_ci_lo,repair_ci_hi,post_label_coverage,sparse_strict_followup
omnimath2,Omni-MATH,gpt_oss_120b,GPT-OSS-120B,per,1992,2663,0.748028539241457,0.731190161129682,0.7641523706247779,145,379,0.38258575197889183,0.3350650728486666,0.43246271718181795,13,362,0.03591160220994475,0.021105022077067746,0.06046435203621446,0.9551451187335093,False
omnimath2,Omni-MATH,gpt_oss_120b,GPT-OSS-120B,broadcast,1742,3244,0.5369913686806412,0.5197989523372566,0.5540962802481251,157,533,0.2945590994371482,0.2574407473261965,0.33461758497718397,16,445,0.035955056179775284,0.022250820211364583,0.05760245117507454,0.8348968105065666,False
omnimath2,Omni-MATH,gemma_4_31b,Gemma-4-31B,per,1390,2033,0.6837186424003935,0.6631741265559788,0.7035701758859517,81,319,0.25391849529780564,0.20927824360601696,0.3044149463160443,18,316,0.056962025316455694,0.036331508988742406,0.08823476508840777,0.9905956112852664,False
omnimath2,Omni-MATH,gemma_4_31b,Gemma-4-31B,broadcast,1550,4485,0.3455964325529543,0.33181597753633835,0.35964115840718275,33,345,0.09565217391304348,0.0689215446123436,0.1312881983947022,4,326,0.012269938650306749,0.00478160354447397,0.03111885258081648,0.9449275362318841,False
jeebench,JEEBench,gpt_oss_120b,GPT-OSS-120B,per,22,34,0.6470588235294118,0.47913963119781733,0.785120794051205,2,6,0.3333333333333333,0.09677141110578041,0.700006684861608,1,6,0.16666666666666666,0.030053369748306635,0.5635028221864702,1.0,True
jeebench,JEEBench,gpt_oss_120b,GPT-OSS-120B,broadcast,130,548,0.23722627737226276,0.20351722148086077,0.2745937551473418,7,49,0.14285714285714285,0.0709642372040676,0.26667706223914406,4,48,0.08333333333333333,0.032883756818091775,0.1955330179036728,0.9795918367346939,False
jeebench,JEEBench,gemma_4_31b,Gemma-4-31B,per,11,11,1.0,0.7411670330319684,1.0,2,2,1.0,0.34238022750665303,1.0,2,2,1.0,0.34238022750665303,1.0,1.0,True
jeebench,JEEBench,gemma_4_31b,Gemma-4-31B,broadcast,80,265,0.3018867924528302,0.24976833665810683,0.35966690275550406,5,18,0.2777777777777778,0.12499753379553993,0.5087265656029746,3,17,0.17647058823529413,0.06191126637620997,0.41029458568834126,0.9444444444444444,True
scibench,SciBench,gpt_oss_120b,GPT-OSS-120B,per,41,45,0.9111111111111111,0.7926642466571064,0.9648888832736299,7,11,0.6363636363636364,0.35380117450784887,0.8483352890463243,0,11,0.0,0.0,0.2588329669680317,1.0,True
scibench,SciBench,gpt_oss_120b,GPT-OSS-120B,broadcast,214,367,0.5831062670299727,0.5320568691050971,0.6324339086897721,11,65,0.16923076923076924,0.0972121812821161,0.2781642163622354,2,62,0.03225806451612903,0.008891371499816635,0.11020469594985441,0.9538461538461539,False
scibench,SciBench,gemma_4_31b,Gemma-4-31B,per,82,84,0.9761904761904762,0.9172855899143008,0.9934460973098326,13,20,0.65,0.43285427668523624,0.818808175898918,2,20,0.1,0.027866481213768224,0.3010336452284873,1.0,False
scibench,SciBench,gemma_4_31b,Gemma-4-31B,broadcast,299,489,0.6114519427402862,0.5675418197144257,0.6536246386854476,6,37,0.16216216216216217,0.07651207234011151,0.3113648370093497,1,32,0.03125,0.005537860164003122,0.15744263820012558,0.8648648648648649,False
labbench,LAB-Bench,gpt_oss_120b,GPT-OSS-120B,per,94,133,0.706766917293233,0.6244666687562667,0.7774583068614479,8,28,0.2857142857142857,0.1525399605666909,0.47059288433295715,2,26,0.07692307692307693,0.0213550884722762,0.2414155377162906,0.9285714285714286,False
labbench,LAB-Bench,gpt_oss_120b,GPT-OSS-120B,broadcast,612,1482,0.41295546558704455,0.3881444166919365,0.4382166001794238,58,226,0.25663716814159293,0.2040913914553192,0.3173178418292027,15,199,0.07537688442211055,0.04620866336854712,0.12062832852377095,0.8805309734513275,False
labbench,LAB-Bench,gemma_4_31b,Gemma-4-31B,per,27,34,0.7941176470588235,0.632016119488364,0.8965047310096808,2,5,0.4,0.11762077423264783,0.769275718723987,2,5,0.4,0.11762077423264783,0.769275718723987,1.0,True
labbench,LAB-Bench,gemma_4_31b,Gemma-4-31B,broadcast,724,1256,0.5764331210191083,0.5489139655176759,0.6034861628125398,37,162,0.22839506172839505,0.170485967554902,0.2988867657424782,7,144,0.04861111111111111,0.023743988255155446,0.09693568416564162,0.8888888888888888,False
mascqa,MaScQA,gpt_oss_120b,GPT-OSS-120B,per,30,40,0.75,0.5980603857923197,0.858128813609037,2,9,0.2222222222222222,0.06322510711784671,0.5474110308930111,1,9,0.1111111111111111,0.019890887638544907,0.434999705576656,1.0,True
mascqa,MaScQA,gpt_oss_120b,GPT-OSS-120B,broadcast,85,250,0.34,0.2840965884370376,0.4007460674015046,6,33,0.18181818181818182,0.08610768208940667,0.3438823163466992,1,29,0.034482758620689655,0.006113214292762653,0.17175521879320288,0.8787878787878788,False
mascqa,MaScQA,gemma_4_31b,Gemma-4-31B,per,12,12,1.0,0.7575059933447592,1.0,1,2,0.5,0.09453120573423074,0.9054687942657693,0,2,0.0,0.0,0.6576197724933469,1.0,True
mascqa,MaScQA,gemma_4_31b,Gemma-4-31B,broadcast,63,144,0.4375,0.35914242941500235,0.5191055252278772,2,11,0.18181818181818182,0.05136768974608513,0.4769805619608442,1,11,0.09090909090909091,0.016232172885884855,0.37735843645159567,1.0,True
