tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,reviewer_conditioned_response__EligibleCorrectReviewEpisodes,reviewer_conditioned_response__EligibleMisleadingReviewEpisodes,reviewer_conditioned_response__MisleadingReviewHarmRate,reviewer_conditioned_response__MisleadingReviewResistanceRate,reviewer_conditioned_response__ReviewerDetectedButNotFixedRate,reviewer_conditioned_response__ReviewerGuidedRepairRate,reviewer_conditioned_tensor__C_correct_agree_correct,reviewer_conditioned_tensor__C_correct_agree_wrong,reviewer_conditioned_tensor__C_correct_revise_correct,reviewer_conditioned_tensor__C_correct_revise_wrong,reviewer_conditioned_tensor__C_wrong_agree_correct,reviewer_conditioned_tensor__C_wrong_agree_wrong,reviewer_conditioned_tensor__C_wrong_revise_correct,reviewer_conditioned_tensor__C_wrong_revise_wrong,reviewer_detection__BalAcc_review,reviewer_detection__EligibleReviewEpisodes,reviewer_detection__FAR_review,reviewer_detection__FN_review,reviewer_detection__FP_review,reviewer_detection__Prec_review,reviewer_detection__Rec_review,reviewer_detection__ReviewEpisodes,reviewer_detection__TN_review,reviewer_detection__TP_review,reviewer_feedback_incorporation__EligibleReviewerFeedbackEpisodes,reviewer_feedback_incorporation__MisleadingReviewSusceptibilityRate,reviewer_feedback_incorporation__ReviewerFeedbackEpisodes,reviewer_feedback_incorporation__ReviewerFeedbackIncorporationRate,reviewer_feedback_incorporation__UsefulReviseFeedbackIncorporationRate
tier01,baseline_llm,116,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier01,broadcast,116,20,0,2,1,0.0,1.0,1.0,0.0,114,0,1,0,0,4,0,2,0.6623188405797101,121,0.008695652173913044,4,1,0.6666666666666666,0.3333333333333333,121,114,2,121,0.0,121,0.9917355371900827,1.0
tier01,per,116,20,0,0,1,0.0,1.0,,,115,0,1,0,0,6,0,0,0.4956896551724138,122,0.008620689655172414,6,1,0.0,0.0,122,115,0,122,0.0,122,0.9836065573770492,
tier01,single_agent,116,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier02,baseline_llm,517,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier02,broadcast,517,60,0,170,56,0.4107142857142857,0.5892857142857143,0.7764705882352941,0.2235294117647059,462,0,33,23,0,51,38,132,0.8305613305613306,739,0.10810810810810811,51,56,0.7522123893805309,0.7692307692307693,739,462,170,739,0.48214285714285715,739,0.939106901217862,0.9058823529411765
tier02,per,517,60,0,201,24,0.125,0.875,0.945273631840796,0.05472636815920398,479,1,21,3,2,70,11,190,0.8443223443223443,777,0.047619047619047616,72,24,0.8933333333333333,0.7362637362637363,805,480,201,805,0.125,805,0.7788819875776397,0.2935323383084577
tier02,single_agent,517,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier03,baseline_llm,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier03,broadcast,20,10,0,27,21,0.23809523809523808,0.7619047619047619,0.7407407407407407,0.25925925925925924,12,0,16,5,0,3,7,20,0.6318181818181818,63,0.6363636363636364,3,21,0.5625,0.9,63,12,27,63,0.7619047619047619,63,0.873015873015873,0.8888888888888888
