tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,first_pass_rate,final_pass_rate,avg_correction_attempts_to_success,avg_correction_loops,avg_reflective_refinement_rounds,avg_reasoning_turns,avg_total_tokens,avg_model_calls,avg_wall_time_seconds,total_correction_attempts_to_success,total_evaluator_attempts,total_model_calls,total_wall_time_seconds
tier01,baseline_llm,116,20,0,0.9310344828,0.9310344828,1,1,0.0,1.0,10166.75,15.7327586207,6.0996724138,108,116,1825,707.5620000000002
tier01,broadcast,116,20,0,0.9827586207,0.9913793103,1.0086956522,1.025862069,0.3448275862068966,7.258620689655173,39073.1120689655,41.9396551724,13.8734051724,116,119,4865,1609.3149999999994
tier01,per,116,20,0,0.9913793103,0.9913793103,1,1.0172413793,0.034482758620689655,3.146551724137931,38621.8534482759,27.2586206897,68.3163965517,115,121,3162,7924.702
tier01,single_agent,116,20,0,0.9482758621,0.9913793103,1.0434782609,1.0603448276,0.0,1.0603448275862069,12217.7672413793,17.8793103448,6.6674482759,120,123,2074,773.4240000000003
tier02,baseline_llm,517,60,0,0.8665377176,0.8665377176,1,1,0.0,1.0,11113.3965183752,12.1470019342,11.5342611219,448,517,6280,5963.213000000003
tier02,broadcast,517,60,0,0.9264990329,0.9516441006,1.0365853659,1.1315280464,1.1237911025145069,11.005802707930368,156346.4487427466,66.1353965184,66.4344371373,510,585,34192,34346.60399999998
tier02,per,517,60,0,0.914893617,0.9497098646,1.0448065173,1.1431334623,0.3597678916827853,4.630560928433269,121930.1411992263,39.5764023211,107.1250290135,513,708,20461,55383.64000000004
tier02,single_agent,517,60,0,0.8529980658,0.9342359768,1.099378882,1.2243713733,0.0,1.2243713733075434,19198.0270793037,15.9671179884,12.4096073501,531,633,8255,6415.767000000005
tier03,baseline_llm,20,10,0,0.6,0.6,1,1,0.0,1.0,4512.5,2.45,26.42905,12,20,49,528.5809999999999
tier03,broadcast,20,10,0,0.7,0.85,1.2352941176,1.5,5.05,26.3,203631.25,46.6,291.60885,21,30,932,5832.177
tier03,per,20,10,0,0.8,0.85,1.0588235294,1.35,0.65,7.2,105536.25,284.25,295.86985,18,38,5685,5917.397
tier03,single_agent,20,10,0,0.6,0.8,1.3125,1.65,0.0,1.65,11628.8,4.4,43.02625,21,33,88,860.5249999999999
tier04,baseline_llm,1106,116,4,0.698915009,0.698915009,1,1,0.0,1.0,17496.2703435805,10.3336347197,69.2160271248,773,1106,11429,76552.92599999996
tier04,broadcast,1106,116,0,0.8679927667,0.9258589512,1.0771484375,1.2197106691,2.4891500904159134,17.321880650994576,431527.5370705244,105.6998191682,197.5218363472,1103,1349,116904,218459.15100000007
tier04,per,1106,116,0,0.7992766727,0.8797468354,1.121274409,1.3471971067,0.8779385171790235,7.198915009041591,318649.3119349005,102.0027124774,173.7956464738,1091,2113,112815,192217.985
tier04,single_agent,1106,116,0,0.6943942134,0.8571428571,1.2373417722,1.4891500904,0.0,1.4891500904159132,38036.6121157324,15.9358047016,30.520363472,1173,1647,17625,33755.52199999997
tier05,baseline_llm,1078,110,0,0.5640074212,0.5640074212,1,1,0.0,1.0,19742.6410018553,9.3654916512,40.1345148423,608,1078,10096,43265.007000000034
tier05,broadcast,1078,110,0,0.8014842301,0.8914656772,1.1279916753,1.3311688312,3.5269016697588125,22.415584415584416,676413.5890538034,137.5751391466,270.7352124304,1084,1435,148306,291852.559
tier05,per,1078,110,0,0.6994434137,0.8265306122,1.1975308642,1.5102040816,1.1799628942486085,8.918367346938776,464440.2133580705,79.0751391466,235.2289981447,1067,2492,85243,253576.86000000048
tier05,single_agent,1078,110,0,0.5760667904,0.7810760668,1.325415677,1.6920222635,0.0,1.6920222634508348,51672.8256029685,17.5547309833,45.2314230056,1116,1824,18924,48759.47400000007
tier06,baseline_llm,497,50,0,0.3782696177,0.3782696177,1,1,0.0,1.0,21927.3863179074,8.661971831,41.749722334,188,497,4305,20749.61200000001
tier06,broadcast,497,50,0,0.6720321932,0.8289738431,1.2475728155,1.5472837022,6.579476861167002,30.59758551307847,929829.0764587525,185.4426559356,336.0290482897,514,769,92165,167006.43699999995
tier06,per,497,50,0,0.615694165,0.7927565392,1.2741116751,1.6317907445,1.6156941649899397,10.507042253521126,560605.8531187123,158.5311871227,429.1400643863,502,1322,78790,213282.61200000008
tier06,single_agent,497,50,0,0.4024144869,0.6901408451,1.5043731778,1.967806841,0.0,1.9678068410462777,66776.3219315895,20.46277666,63.3693722334,516,978,10170,31494.57799999998
tier07,baseline_llm,358,40,0,0.2932960894,0.2932960894,1,1,0.0,1.0,22156.3603351955,7.687150838,44.2282793296,105,358,2752,15833.723999999993
tier07,broadcast,358,40,0,0.6005586592,0.8072625698,1.3148788927,1.6396648045,8.335195530726256,35.365921787709496,1044015.2067039106,218.1592178771,653.5318910615,380,587,78101,233964.41700000004
tier07,per,358,40,0,0.5837988827,0.7681564246,1.3163636364,1.7067039106,1.9329608938547487,11.452513966480447,597743.282122905,100.9916201117,472.731349162,362,1026,36155,169237.8230000001
tier07,single_agent,358,40,0,0.2793296089,0.6061452514,1.6958525346,2.2094972067,0.0,2.2094972067039107,72761.8156424581,21.9748603352,196.9163240223,368,791,7867,70496.04399999995
tier08,baseline_llm,328,40,0,0.2987804878,0.2987804878,1,1,0.0,1.0,22163.0487804878,8.4268292683,39.1858780488,98,328,2764,12852.967999999999
tier08,broadcast,328,40,0,0.6585365854,0.8658536585,1.2852112676,1.5152439024,8.076219512195122,31.85670731707317,863357.9634146341,176.3902439024,531.8062987805,365,498,57856,174432.46600000001
tier08,per,328,40,0,0.6036585366,0.8353658537,1.3576642336,1.6280487805,1.9481707317073171,10.856707317073171,536553.1341463415,181.0426829268,404.2376707317,372,890,59382,132589.956
tier08,single_agent,328,40,0,0.3140243902,0.6920731707,1.7356828194,2.125,0.0,2.125,68719.5213414634,22.0792682927,210.6491646341,394,697,7242,69092.92600000005
tier09,baseline_llm,146,20,0,0.2054794521,0.2054794521,1,1,0.0,1.0,20772.095890411,6.6575342466,36.5162328767,30,146,972,5331.369999999998
tier09,broadcast,146,20,0,0.5547945205,0.8356164384,1.4016393443,1.6643835616,9.58904109589041,40.32876712328767,1084256.8698630137,197.2260273973,667.8511849315,171,243,28795,97506.27299999994
tier09,per,146,20,0,0.5547945205,0.8219178082,1.425,1.7054794521,1.9109589041095891,11.664383561643836,544578.1643835617,93.9452054795,795.2619383562,171,418,13716,116108.24300000006
tier09,single_agent,146,20,0,0.2876712329,0.6575342466,1.7916666667,2.2054794521,0.0,2.2054794520547945,66930.3082191781,20.8082191781,299.8045684932,172,322,3038,43771.46699999998
tier10,baseline_llm,15,10,0,0.2,0.2,1,1,0.0,1.0,5899.5333333333,1.9333333333,39.0055333333,3,15,29,585.083
tier10,broadcast,15,10,0,0.6,0.9333333333,1.5,1.6,7.133333333333334,38.733333333333334,289044.8,54.8666666667,518.7796666667,21,24,823,7781.695
tier10,per,15,10,0,0.6,0.7333333333,1.2727272727,1.7333333333,1.7333333333333334,12.133333333333333,202418.1333333333,41.8666666667,2021.2598666667,14,46,628,30318.898
tier10,single_agent,15,10,0,0.2666666667,0.5333333333,1.75,2.3333333333,0.0,2.3333333333333335,20366.4,5.8,360.2794666667,14,35,87,5404.192
