tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,inner_loop__ReflectiveHarmRate,inner_loop__ReflectiveNeglectRate,inner_loop__ReflectiveNetRepairGain,inner_loop__ReflectivePreservationRate,inner_loop__ReflectiveRepairRate,inner_loop__ReflectiveStillWrongRate,inner_loop__ReflectiveTryButFailRate,inner_loop__Transition_correct_to_correct,inner_loop__Transition_correct_to_wrong,inner_loop__Transition_wrong_to_correct,inner_loop__Transition_wrong_to_wrong,inner_loop_by_difficulty__10:Transition_correct_to_correct,inner_loop_by_difficulty__10:Transition_correct_to_wrong,inner_loop_by_difficulty__10:Transition_wrong_to_correct,inner_loop_by_difficulty__10:Transition_wrong_to_wrong,inner_loop_by_difficulty__1:Transition_correct_to_correct,inner_loop_by_difficulty__1:Transition_correct_to_wrong,inner_loop_by_difficulty__1:Transition_wrong_to_correct,inner_loop_by_difficulty__1:Transition_wrong_to_wrong,inner_loop_by_difficulty__2:Transition_correct_to_correct,inner_loop_by_difficulty__2:Transition_correct_to_wrong,inner_loop_by_difficulty__2:Transition_wrong_to_correct,inner_loop_by_difficulty__2:Transition_wrong_to_wrong,inner_loop_by_difficulty__3:Transition_correct_to_correct,inner_loop_by_difficulty__3:Transition_correct_to_wrong,inner_loop_by_difficulty__3:Transition_wrong_to_correct,inner_loop_by_difficulty__3:Transition_wrong_to_wrong,inner_loop_by_difficulty__4:Transition_correct_to_correct,inner_loop_by_difficulty__4:Transition_correct_to_wrong,inner_loop_by_difficulty__4:Transition_wrong_to_correct,inner_loop_by_difficulty__4:Transition_wrong_to_wrong,inner_loop_by_difficulty__5:Transition_correct_to_correct,inner_loop_by_difficulty__5:Transition_correct_to_wrong,inner_loop_by_difficulty__5:Transition_wrong_to_correct,inner_loop_by_difficulty__5:Transition_wrong_to_wrong,inner_loop_by_difficulty__6:Transition_correct_to_correct,inner_loop_by_difficulty__6:Transition_correct_to_wrong,inner_loop_by_difficulty__6:Transition_wrong_to_correct,inner_loop_by_difficulty__6:Transition_wrong_to_wrong,inner_loop_by_difficulty__7:Transition_correct_to_correct,inner_loop_by_difficulty__7:Transition_correct_to_wrong,inner_loop_by_difficulty__7:Transition_wrong_to_correct,inner_loop_by_difficulty__7:Transition_wrong_to_wrong,inner_loop_by_difficulty__8:Transition_correct_to_correct,inner_loop_by_difficulty__8:Transition_correct_to_wrong,inner_loop_by_difficulty__8:Transition_wrong_to_correct,inner_loop_by_difficulty__8:Transition_wrong_to_wrong,inner_loop_by_difficulty__9:Transition_correct_to_correct,inner_loop_by_difficulty__9:Transition_correct_to_wrong,inner_loop_by_difficulty__9:Transition_wrong_to_correct,inner_loop_by_difficulty__9:Transition_wrong_to_wrong
tier01,baseline_llm,116,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier01,broadcast,116,20,0,0.008620689655172414,0.0,-0.008403361344537815,0.9913793103448276,0.0,1.0,1.0,0.9663865546218487,0.008403361344537815,0.0,0.025210084033613446,,,,,0.9663865546218487,0.008403361344537815,0.0,0.025210084033613446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier01,per,116,20,0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.9504132231404959,0.0,0.0,0.049586776859504134,,,,,0.9504132231404959,0.0,0.0,0.049586776859504134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier01,single_agent,116,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier02,baseline_llm,517,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier02,broadcast,517,60,0,0.016666666666666666,0.3557692307692308,0.02054794520547945,0.9833333333333333,0.19230769230769232,0.8076923076923077,0.4519230769230769,0.8082191780821918,0.0136986301369863,0.03424657534246575,0.14383561643835616,,,,,,,,,0.8082191780821918,0.0136986301369863,0.03424657534246575,0.14383561643835616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier02,per,517,60,0,0.004310344827586207,0.45614035087719296,0.03901734104046243,0.9956896551724138,0.12719298245614036,0.8728070175438597,0.4166666666666667,0.6676300578034682,0.002890173410404624,0.04190751445086705,0.2875722543352601,,,,,,,,,0.6676300578034682,0.002890173410404624,0.04190751445086705,0.2875722543352601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier02,single_agent,517,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier03,baseline_llm,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier03,broadcast,20,10,0,0.2,0.5,-0.10714285714285714,0.8,0.125,0.875,0.375,0.5714285714285714,0.14285714285714285,0.03571428571428571,0.25,,,,,,,,,,,,,0.5714285714285714,0.14285714285714285,0.03571428571428571,0.25,,,,,,,,,,,,,,,,,,,,,,,,
tier03,per,20,10,0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.2222222222222222,0.4857142857142857,0.0,0.0,0.5142857142857142,,,,,,,,,,,,,0.4857142857142857,0.0,0.0,0.5142857142857142,,,,,,,,,,,,,,,,,,,,,,,,
tier03,single_agent,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
